__,__1,__2,__3,__4,__5,__6,__7,__8, ACC_X,ACC_Y,ACC_Z,GYZO_X,GYZO_Y,GYZO_Z,__1,__2,__3,__4,__5,__6,__7,__8, ACC_X,ACC_Y,ACC_Z,GYZO_X,GYZO_Y,GYZO_Z
'2017-08-02 15:33:02.050,1,0,0,2,1,2,2,2,-1201,-4276,-9231,6117,-3021,-1066,2,2,2,0,2,2,1,0,479,606,-11412,-885,6138,843
'2017-08-02 15:33:02.060,1,0,0,2,1,1,2,2,-337,1670,-8289,2143,-1610,284,2,2,2,0,2,2,1,0,392,589,-11908,-1214,7286,1003
'2017-08-02 15:33:02.070,2,0,0,2,1,1,2,2,528,1623,-8561,2468,-1364,-118,2,2,2,0,2,2,1,0,410,778,-11606,-350,8580,845
'2017-08-02 15:33:02.080,2,1,0,2,1,1,2,2,41,1295,-9106,3018,-1066,-291,2,2,2,0,2,2,1,0,951,915,-11492,-591,9884,995
'2017-08-02 15:33:02.090,2,1,0,2,1,1,2,2,575,390,-8963,2962,-1066,-490,2,2,2,0,2,2,1,0,911,803,-12008,-209,11889,946
'2017-08-02 15:33:02.100,2,1,0,2,1,1,2,2,52,393,-8903,2355,-1118,-436,2,2,2,0,2,2,0,0,814,212,-10869,413,12627,902
'2017-08-02 15:33:02.110,2,1,0,2,1,0,1,2,191,393,-8588,1786,-995,-394,2,2,2,0,2,2,0,0,914,1371,-10867,1331,13423,701
'2017-08-02 15:33:02.120,2,1,0,2,0,0,1,2,63,494,-8645,1351,-888,-417,2,2,2,0,2,2,0,0,1085,1168,-10766,1487,13463,1024
'2017-08-02 15:33:02.130,2,1,0,2,0,0,1,2,347,585,-8728,1108,-1171,-416,2,2,2,0,2,2,0,0,1280,-411,-11484,2153,13653,1230
'2017-08-02 15:33:02.140,2,2,0,2,0,0,1,2,441,392,-9113,909,-1742,-430,2,2,2,0,2,2,0,0,922,546,-12364,2152,15290,1106
'2017-08-02 15:33:02.150,2,2,1,2,0,0,0,2,426,142,-9134,423,-2327,-288,2,2,2,0,2,2,0,0,1167,1001,-15105,2471,16837,1053
'2017-08-02 15:33:02.160,2,2,1,2,0,0,0,2,408,622,-8820,-36,-2793,-152,2,2,2,0,2,2,0,0,1418,1706,-17767,2516,19263,1088
