½Ã°£,¼¾¼­1,¼¾¼­2,¼¾¼­3,¼¾¼­4,¼¾¼­5,¼¾¼­6,¼¾¼­7,¼¾¼­8, ACC_X,ACC_Y,ACC_Z,GYZO_X,GYZO_Y,GYZO_Z,¼¾¼­1,¼¾¼­2,¼¾¼­3,¼¾¼­4,¼¾¼­5,¼¾¼­6,¼¾¼­7,¼¾¼­8, ACC_X,ACC_Y,ACC_Z,GYZO_X,GYZO_Y,GYZO_Z
'2017-07-31 17:39:29.528,1,1,0,0,0,0,0,0,-164,178,-8739,714,-531,-224,1,1,1,0,1,0,0,0,299,639,-8675,-504,1646,-149
'2017-07-31 17:39:29.538,1,1,0,0,0,0,0,0,-218,68,-8683,849,-548,-252,1,1,1,0,1,0,0,0,347,683,-8370,43,1773,-161
'2017-07-31 17:39:29.548,1,1,0,0,0,0,0,0,-311,-62,-8615,860,-513,-254,1,1,1,0,1,0,0,0,318,518,-8785,398,1885,-29
'2017-07-31 17:39:29.558,1,1,0,0,0,0,0,0,-298,-166,-8512,742,-462,-214,1,1,1,0,1,0,0,0,303,711,-9043,792,2107,54
'2017-07-31 17:39:29.568,1,1,0,0,0,0,0,0,-302,-156,-8539,602,-432,-189,1,1,1,0,1,0,0,0,369,429,-9160,1152,2498,151
'2017-07-31 17:39:29.578,1,1,0,0,0,0,0,0,-316,-143,-8584,484,-380,-171,1,1,1,0,1,0,0,0,297,307,-9534,1078,2743,235
'2017-07-31 17:39:29.588,1,1,0,0,0,0,0,0,-343,-159,-8657,369,-326,-159,1,1,1,0,1,0,0,0,344,306,-9730,1039,3176,263
'2017-07-31 17:39:29.598,1,1,0,0,0,0,0,0,-372,-247,-8473,180,-265,-127,1,1,1,0,1,0,0,0,459,260,-9666,964,3624,316
'2017-07-31 17:39:29.608,1,1,0,0,0,0,0,0,-421,-299,-8325,-59,-139,-90,1,1,1,0,1,0,0,0,624,85,-9649,994,3842,321
'2017-07-31 17:39:29.618,1,1,0,0,0,0,0,0,-435,-416,-8229,-373,41,-34,1,1,1,0,1,0,0,0,436,241,-9461,1198,4382,241
'2017-07-31 17:39:29.628,1,1,0,0,0,0,0,0,-393,-460,-8142,-751,252,48,1,1,1,0,1,0,0,0,550,-120,-10000,1162,4935,255
'2017-07-31 17:39:29.638,1,1,0,0,0,0,0,0,-390,-456,-8182,-1200,525,160,1,1,1,0,1,0,0,0,600,-612,-10368,970,5487,57
'2017-07-31 17:39:29.648,1,1,0,0,0,0,0,0,-319,-376,-8350,-1631,745,276,1,1,1,0,1,0,0,0,621,-29,-10696,939,6311,-153
'2017-07-31 17:39:29.658,1,1,0,0,0,0,0,0,-202,-95,-8989,-1964,907,370,1,1,1,0,1,0,0,0,715,613,-10632,862,7105,-106
'2017-07-31 17:39:29.668,1,1,0,0,0,0,0,0,-132,230,-8822,-1850,1043,349,1,1,1,0,1,0,0,0,784,1084,-10814,1001,7900,121
'2017-07-31 17:39:29.678,1,1,0,0,0,0,0,0,-146,431,-8886,-1647,1103,294,1,1,1,0,1,0,0,0,1144,1591,-10846,1326,8813,526
'2017-07-31 17:39:29.688,1,1,0,0,0,0,0,0,-103,538,-8971,-1395,1004,201,1,1,0,0,1,0,0,0,1068,865,-10442,1780,9176,1212
'2017-07-31 17:39:29.698,1,1,0,0,0,0,0,0,-117,440,-8932,-1132,854,114,1,1,0,0,1,0,0,0,857,629,-10343,1862,10142,1286
'2017-07-31 17:39:29.708,0,1,0,0,0,0,0,0,-81,353,-8888,-957,756,77,1,1,0,0,0,0,0,0,1528,-2,-9294,1667,10568,1432
'2017-07-31 17:39:29.718,0,1,0,1,0,0,0,0,-92,407,-8881,-770,660,47,1,1,0,0,0,0,0,0,1898,-1689,-9356,1654,10772,1362
'2017-07-31 17:39:29.728,0,1,0,1,0,0,0,0,-119,367,-8869,-665,621,32,1,1,0,0,0,0,0,0,1890,-1444,-9095,2887,10745,689
'2017-07-31 17:39:29.738,0,1,0,1,0,0,0,0,-173,298,-8872,-539,586,25,1,1,0,0,0,0,0,0,2232,1595,-8739,1526,10049,525
'2017-07-31 17:39:29.748,0,1,0,1,0,0,0,0,-188,211,-8839,-499,608,36,1,1,0,0,0,0,0,0,2347,-191,-6877,1266,10542,902
'2017-07-31 17:39:29.758,0,0,0,1,0,0,0,1,-110,224,-8797,-510,625,53,1,1,0,0,0,0,0,0,2389,-533,-6361,965,9822,983
'2017-07-31 17:39:29.768,0,0,0,1,0,0,0,1,-96,256,-8827,-522,644,71,1,1,0,0,0,0,0,0,3147,-1028,-7235,788,8977,926
'2017-07-31 17:39:29.778,0,0,0,1,0,0,0,1,-116,325,-8833,-516,646,49,1,1,0,0,0,0,0,0,3632,-807,-7297,923,8435,753
'2017-07-31 17:39:29.788,0,0,0,1,0,0,0,1,-79,346,-8837,-484,627,41,1,1,0,0,0,0,0,0,4447,606,-8404,159,7187,691
'2017-07-31 17:39:29.798,0,0,0,1,0,0,0,1,-61,333,-8871,-423,578,16,1,1,0,0,0,0,0,0,4159,3818,-8122,-2468,5754,1284
'2017-07-31 17:39:29.808,0,0,0,1,0,0,0,1,-61,336,-8889,-393,479,-10,1,1,0,0,0,0,0,0,3841,4124,-7156,-5098,4679,2381
'2017-07-31 17:39:29.818,0,0,0,1,0,0,0,1,-44,274,-8879,-416,430,-24,0,1,0,0,0,0,0,0,903,5033,-6385,-7664,2851,3513
'2017-07-31 17:39:29.828,0,0,0,1,0,0,0,1,27,294,-8814,-469,333,-35,0,0,0,0,0,0,0,0,-16866,5659,-2369,-9988,-1066,5529
'2017-07-31 17:39:29.838,0,0,0,1,0,0,0,1,62,325,-8700,-476,251,-16,0,0,0,0,0,0,0,0,-12225,-1374,3693,-9024,-8527,8579
'2017-07-31 17:39:29.848,0,0,0,1,0,0,0,1,18,343,-8655,-481,194,-20,0,0,0,0,0,0,0,0,-8555,-4434,-11001,-8744,-13711,7231
'2017-07-31 17:39:29.858,0,0,0,1,0,0,0,1,39,431,-8624,-451,168,-26,0,0,0,0,0,0,0,0,-4030,-2544,-9009,-7183,-13564,5968
'2017-07-31 17:39:29.868,0,0,0,1,0,0,0,1,5,496,-8605,-339,165,-38,0,0,0,0,0,0,0,0,351,-3738,-4985,-4448,-10846,4925
'2017-07-31 17:39:29.878,0,0,0,1,0,0,0,1,37,441,-8656,-223,163,-51,0,0,0,0,0,0,0,0,1368,400,-6045,-3211,-7496,4423
'2017-07-31 17:39:29.888,0,0,0,1,0,0,0,1,21,408,-8675,-149,165,-80,0,0,0,0,0,0,0,0,1690,2206,-7720,-2138,-5106,5114
'2017-07-31 17:39:29.898,0,0,0,1,0,0,0,1,-3,370,-8735,-120,147,-98,0,0,0,0,0,0,0,0,1513,1586,-6194,-2218,-4737,5609
'2017-07-31 17:39:29.908,0,0,0,1,0,0,0,1,-26,328,-8575,-155,186,-89,0,0,0,0,0,0,0,0,1400,16,-6442,-1906,-4453,5708
'2017-07-31 17:39:29.918,0,0,0,1,0,0,0,1,-118,246,-8646,-320,370,-116,0,0,0,0,0,0,0,0,1574,-396,-6629,-1729,-4159,5626
'2017-07-31 17:39:29.928,0,0,0,1,0,0,0,1,2,289,-8646,-468,511,-123,0,0,0,0,0,0,0,0,2193,-751,-6614,-996,-3344,5058
'2017-07-31 17:39:29.938,0,0,0,1,0,0,0,1,154,315,-8508,-605,560,-90,0,0,0,0,0,0,0,0,2156,234,-7062,-555,-2757,4324
'2017-07-31 17:39:29.948,0,0,0,1,0,0,0,1,215,431,-8567,-727,550,-49,0,0,0,0,0,0,0,0,1442,2308,-6796,-1101,-3170,3624
'2017-07-31 17:39:29.958,0,0,0,1,0,0,0,1,149,567,-8738,-621,407,-31,0,0,0,0,0,0,0,0,1161,2859,-6930,-2319,-4477,2732
'2017-07-31 17:39:29.968,0,0,0,1,0,0,0,1,90,622,-8887,-409,232,-34,0,0,0,0,0,0,0,0,1212,2827,-7562,-3396,-5894,1714
'2017-07-31 17:39:29.978,0,0,0,1,0,0,0,1,90,615,-8785,-151,88,-24,0,0,0,0,0,0,0,0,1144,1774,-7743,-3431,-7083,641
'2017-07-31 17:39:29.988,0,0,0,1,0,0,0,1,126,601,-8632,129,-46,-15,0,0,0,0,0,0,0,0,1179,1076,-7477,-3131,-7782,-516
'2017-07-31 17:39:29.998,0,0,0,1,0,0,0,1,193,524,-8360,381,-76,-6,0,0,0,0,0,0,0,0,1433,1404,-7739,-2892,-7814,-1431
'2017-07-31 17:39:30.008,0,0,0,1,0,0,0,1,127,503,-8313,568,-8,12,0,0,0,0,0,0,0,0,2115,2163,-7766,-3262,-7231,-1810
'2017-07-31 17:39:30.018,0,0,0,1,0,0,0,1,5,357,-8550,704,87,36,0,0,0,0,0,0,0,0,3325,2238,-7163,-4634,-5950,-1663
'2017-07-31 17:39:30.028,0,0,0,1,0,0,0,1,97,460,-8441,827,188,58,0,0,0,0,0,0,0,0,6238,3473,-7480,-7412,-2823,-676
'2017-07-31 17:39:30.038,0,0,0,1,0,0,0,1,-41,481,-8564,885,294,67,0,0,0,0,0,0,0,0,7054,2952,-8018,-9546,1225,1055
'2017-07-31 17:39:30.048,0,0,0,2,0,0,0,1,-16,296,-8680,777,434,78,0,0,0,0,0,0,0,0,6960,-1434,-8791,-10311,2243,1947
'2017-07-31 17:39:30.058,0,0,0,2,0,0,0,2,113,99,-8699,520,456,102,0,0,0,0,0,0,0,0,27610,7191,-7795,-9672,2799,2248
'2017-07-31 17:39:30.068,0,0,0,2,0,0,0,2,173,86,-8717,363,419,128,0,0,0,0,0,0,0,0,22176,-15172,-17208,8432,-327,9420
'2017-07-31 17:39:30.078,0,0,0,2,0,0,0,2,219,124,-8470,72,296,172,0,0,0,0,0,0,0,0,7760,-16668,-8407,-407,2250,6528
'2017-07-31 17:39:30.088,0,0,0,2,0,0,0,2,330,309,-8461,-66,-134,240,0,0,0,0,0,0,0,0,9056,-14396,-3654,5074,-498,833
'2017-07-31 17:39:30.098,0,0,0,2,0,0,0,2,248,668,-9012,103,-540,219,0,0,0,0,0,0,0,0,358,-886,-10228,9357,921,-2585
'2017-07-31 17:39:30.108,0,0,0,2,0,0,0,2,-42,460,-9121,427,-585,113,0,0,0,0,1,0,0,0,-1545,13809,-7459,1279,-276,-755
'2017-07-31 17:39:30.118,0,0,0,2,0,0,0,2,-53,190,-8782,487,-485,100,0,0,0,0,1,0,0,0,1136,4805,-5923,-935,-748,2530
'2017-07-31 17:39:30.128,0,0,0,2,0,0,0,2,34,138,-8735,316,-354,127,0,0,0,0,1,0,0,0,2901,-6017,-7839,84,-1574,2450
'2017-07-31 17:39:30.138,0,1,0,2,0,0,0,2,29,259,-8554,114,-262,176,0,0,0,0,1,0,0,0,2119,-4570,-9583,943,-1699,188
'2017-07-31 17:39:30.148,0,1,0,2,0,0,1,2,-59,178,-8618,-49,-168,224,0,0,0,0,1,0,0,0,1507,246,-8229,-704,-1685,-842
'2017-07-31 17:39:30.158,0,1,0,2,0,0,1,2,1,298,-8796,-229,-61,266,0,1,0,0,1,0,0,0,1580,1529,-7334,-1522,-2072,-868
'2017-07-31 17:39:30.168,0,1,0,2,0,0,1,2,-9,229,-8906,-331,5,281,1,1,0,0,1,0,0,0,1538,845,-8039,-1643,-2303,-792
'2017-07-31 17:39:30.178,0,1,0,2,0,0,1,2,-19,284,-8928,-426,87,276,1,1,0,0,1,0,0,0,1395,407,-8479,-1868,-2363,-921
'2017-07-31 17:39:30.188,0,1,0,2,0,0,1,2,2,331,-8929,-452,168,237,1,1,0,0,1,0,0,0,1252,1541,-8576,-2023,-2199,-1010
'2017-07-31 17:39:30.198,0,1,0,2,0,0,1,2,54,281,-8976,-477,190,180,1,1,0,0,1,0,0,0,1201,2172,-7662,-1935,-2177,-793
'2017-07-31 17:39:30.208,0,1,0,2,0,0,1,2,46,243,-8921,-577,186,134,1,1,0,0,1,0,0,0,1122,2105,-7397,-1348,-2333,-595
