'2017-08-03 16:20:20.708,0,0,0,1,0,0,0,1,-23172,-8749,1516,2020,-28909,2939,2,2,2,1,0,0,2,1,612,-193,-8351,382,709,34
'2017-08-03 16:20:20.718,0,0,0,2,0,0,0,2,-18185,-11976,-26648,2502,-31670,991,2,2,2,1,1,0,2,1,614,-221,-8479,333,523,6
'2017-08-03 16:20:20.728,0,0,0,2,0,0,0,2,-3905,2755,-29853,10691,-32768,-2738,2,2,2,1,1,0,2,1,579,-292,-8621,230,430,-17
'2017-08-03 16:20:20.738,1,0,0,2,0,0,2,2,-3519,11555,-26486,18529,-25698,-5058,2,2,2,1,1,1,2,1,598,-221,-8645,60,404,-32
'2017-08-03 16:20:20.748,1,0,0,2,0,0,2,2,-12107,4042,-27216,15475,-18073,1393,2,2,2,1,1,1,2,1,577,-202,-8560,-60,351,-36
'2017-08-03 16:20:20.758,1,0,0,2,0,0,2,2,-2353,-6090,-15114,4639,-5846,326,2,2,2,1,1,1,2,1,599,-201,-8545,-138,267,0
'2017-08-03 16:20:20.768,1,0,0,2,0,0,2,2,-246,4583,-8063,-2248,-8046,202,2,2,2,1,1,1,2,1,597,-220,-8576,-244,222,22
'2017-08-03 16:20:20.778,1,0,0,2,0,1,2,2,-1491,-445,-7156,158,-6293,130,2,2,2,1,1,1,2,1,603,-210,-8591,-358,197,31
'2017-08-03 16:20:20.788,1,0,0,2,0,1,2,2,-1715,1370,-7749,-847,-3958,260,2,2,2,1,1,1,2,1,556,-188,-8615,-478,243,36
'2017-08-03 16:20:20.798,1,0,1,2,0,1,2,2,-1147,2617,-8355,-21,-2830,-211,2,1,2,1,1,1,2,1,622,-136,-8598,-548,276,55
'2017-08-03 16:20:20.808,2,0,1,2,0,1,2,2,-1396,865,-8049,1010,-1622,-348,2,1,2,1,1,1,2,1,588,-110,-8606,-557,301,53
'2017-08-03 16:20:20.818,2,0,1,2,0,1,2,2,-1170,776,-8689,368,-512,-258,2,1,2,1,1,1,2,1,641,-125,-8540,-538,330,45
'2017-08-03 16:20:20.828,2,0,1,2,0,1,2,2,-1186,1219,-8844,-394,72,-118,2,1,2,1,1,1,2,1,636,-86,-8544,-548,377,22
'2017-08-03 16:20:20.838,2,0,1,2,0,1,2,2,-968,1307,-8815,-512,392,-182,2,1,2,1,1,1,2,1,614,-43,-8637,-535,505,32
'2017-08-03 16:20:20.848,2,0,1,2,0,1,2,2,-807,1188,-8978,-786,248,-217,2,1,2,1,1,1,2,1,644,-79,-8697,-550,682,72
'2017-08-03 16:20:20.858,2,0,1,2,0,1,2,2,-510,1602,-9125,-914,-565,-280,2,1,2,0,1,1,2,0,605,-49,-8823,-625,983,74
'2017-08-03 16:20:20.868,2,0,0,2,0,1,2,2,-622,1236,-9574,-894,-1506,-399,2,1,2,0,1,1,2,0,678,-18,-8892,-698,1363,99
'2017-08-03 16:20:20.878,2,0,0,2,0,1,2,2,-676,1201,-9070,-1331,-2173,-381,2,1,2,0,1,2,2,0,674,29,-9036,-820,1875,106
'2017-08-03 16:20:20.888,2,0,0,2,0,1,2,2,-704,1660,-8940,-1482,-2624,-420,2,1,2,0,1,2,2,0,880,8,-9076,-1061,2473,120
'2017-08-03 16:20:20.898,2,0,0,2,0,1,1,2,-814,1703,-8921,-1272,-2991,-493,2,1,2,0,1,2,2,0,853,74,-9000,-1410,2984,34
